Family,cum_rel_ab,hex,colors
<1% abundance,0,#D3D3D3,lightgrey
Xanthomonadaceae,0.00159371,#CECFDA,lightgray
Spongiibacteraceae,0.002409199,#DC4AD5,mediumorchid2
Hyphomonadaceae,0.002716737,#60DF72,palegreen3
Cellvibrionaceae,0.002738989,#A478D8,mediumpurple
Saccharospirillaceae,0.003325292,#88E642,olivedrab3
Methylophilaceae,0.003607285,#79CFDF,darkslategray3
Salinisphaeraceae,0.004891416,#D6649F,palevioletred
Vibrionaceae,0.008129506,#7E41E1,blueviolet
Spirochaetaceae,0.008563302,#D09D97,rosybrown3
Francisellaceae,0.009036682,#DDE4BE,lemonchiffon2
Nitrincolaceae,0.012239597,#DDD281,lightgoldenrod2
P3OB-42,0.012747912,#7FA977,lightyellow4
Cyclobacteriaceae,0.023986924,#8FEBD6,darkslategray2
AAA286-E23,0.051879878,#D9DC44,olivedrab2
Xenococcaceae,0.056513169,#DF9B4F,tan2
Amoebophilaceae,0.073331236,#7999D2,skyblue3
Rhodobacteraceae,0.096596791,#1E90FF,dodgerblue
Alteromonadaceae,0.194905964,#E3645B,indianred2
Endozoicomonadaceae,0.423919437,#20B2AA,lightseagreen
