SampleID,rawCounts,trimmedCounts,singleMapped_coral,geneCounted_coral,unMapped_symbiont,singleMapped_symbiont,geneCounted_symbiont
Hw1-1a,9713826,9673324,6704877,4907111,2823060,1402892,644797
Hw1-1b,9526623,9506065,7086558,5309766,2282222,1387413,714370
Hw1-1c,9405980,9390990,5923618,4199512,3341888,1793446,824794
Hw1-4a,9878242,9723143,5189007,3460228,4410489,2494319,1129535
Hw1-4b,8240977,7839487,5223596,3983516,2502291,1687455,861204
Hw1-4c,9008039,8914384,6485596,4734756,2281543,1359529,692740
Hw1-5a,18960801,18912247,13467873,9285764,5145171,3051261,1401087
Hw1-5b,16436451,16393549,12120565,8762394,3989707,2204554,1095014
Hw1-5c,17544535,17433807,11201092,8108113,5983284,4162337,2089047
Hw1-6a,18833722,18799781,12617864,8976150,5903039,3866802,1867899
Hw1-6b,18562124,18342063,11523085,8323104,6541638,4582359,2216786
Hw1-6c,16512815,16481147,9621091,6759635,6627351,4495738,2168582
Hw2-1a,10496100,10472754,6638868,4692925,3670114,2082226,989859
Hw2-1b,12245939,11831857,9034211,6783984,2535870,1140776,551287
Hw2-1c,12434475,12322138,9106328,6338289,2994490,1102657,454118
Hw2-4a,8980206,8951303,4817979,3513488,4002064,2981977,1548540
Hw2-4b,10511804,10432577,6883509,4881184,3346300,2086773,1055003
Hw2-4c,9776438,9551871,6467131,4602778,2914107,1796238,921588
Hw2-5a,16284291,16215992,10467839,7621833,5468408,3580939,1794217
Hw2-5b,20399254,20316159,13484831,9602954,6453319,4073107,1970256
Hw2-5c,12877663,12819188,9249569,6676437,3322799,1919992,981909
Hw2-6b,18646988,18609554,12397998,8628697,5828155,3650452,1776440
Hw2-6c,15441056,15338616,9294097,6719010,5785011,4054822,2091184
Wt1-1a,11033722,10852584,8447033,6191125,2186422,863130,407523
Wt1-1b,10372574,10269843,7223950,5218974,2863725,1661372,819051
Wt1-1c,11361597,11345796,8940777,6477923,2171812,848015,423150
Wt1-4a,8813038,8799963,6216411,4548852,2415379,1394883,712492
Wt1-4b,8605733,8465190,5900732,4239550,2392442,1389823,706880
Wt1-4c,12363692,12339189,6990748,4980833,5150825,3694418,1884565
Wt1-5a,8838656,8818330,6477803,4741392,2169113,1109730,547360
Wt1-5b,16798558,16712528,12524793,9058877,3845035,1923488,990219
Wt1-5c,16456343,16390286,11723804,8608768,4350197,2445723,1262498
Wt1-6a,18493445,18457799,14038841,10283164,4016567,1888038,948365
Wt1-6b,18437673,17973556,12750299,9246110,4891084,2798508,1422403
Wt1-6c,17822511,17742038,13422372,9937426,3955402,1904907,964623
Wt2-1a,20428312,20339832,15356577,11162588,4562570,2193476,1081277
Wt2-1b,9391494,9351102,7504504,5562226,1641731,499602,231534
Wt2-1c,8837483,8823033,6874045,5164171,1772907,713844,356472
Wt2-4a,12318282,12283946,7677095,5233448,4400904,1885848,777145
Wt2-4b,16357350,16321135,12477533,9226647,3508010,1647938,787347
Wt2-4c,20366051,20323384,13803888,10207910,6120548,3743027,1841457
Wt2-5a,14254282,14193733,11302792,8194559,2579192,893770,450947
Wt2-5b,15344722,15254622,11657578,8654239,3285199,1254479,632692
Wt2-5c,9178593,8892419,6818788,5118736,1907535,877418,446175
Wt2-6a,18020168,17871277,13471410,9971455,4015572,1963505,1000876
Wt2-6b,16780258,16751731,10600920,8046746,5865929,4017477,2055214
Wt2-6c,15668816,15604812,11343253,8229834,3956393,1547134,673209
